country,Igbo,Turkish,Farsi,French,Nepali,Urdu,Arabic
Brazil,Brazil,Brezilya,برزیل,Brésil,ब्राजीली,برازیل,البرازيل
Brunei,Brunei,Brunei,برونئی,Brunei,ब्रुनेई,برونائی,بروناي
Bulgaria,Bulgariya,Bulgaristan,بلغارستان,Bulgarie,बुल््गारिया,بلغaria,بلغاريا
Burkina Faso,Burkina Faso,Burkina Faso,بورکینافاسو,Burkina Faso,बुर्किना फासो,برکینا فاسو,بوركينا فاسو
Burundi,Burundi,Burundi,بوروندی,Burundi,बुरुंडी,برونڈی,بوروندي
Cambodia,Kambodiía,Kamboçya,کامبوج,Cambodge,कम्बोडिया,کیمبوجیہ,كمبوديا
Cameroon,Kamerun,Kamerun,کامرون,Cameroun,क्यामरून,کامرون,الكاميرون
Canada,Canada,Kanada,کانادا,Canada,क्यानडा,کنیڈا,كندا
Cape Verde,Kapúfịa Vẹrd,Yeşil Burun,کپ ورد,Cap-Vert,कप भर्न्ड,کیپ ورد,الرأس الأخضر
Central African Republic,Central African Republic,Orta Afrika Cumhuriyeti,جمهوری آفریقای مرکزی,République centrafricaine,केन्द्रिय अफ्रिकी गणतन्त्र,وسطی افریقی جمہوریہ,جمهورية أفريقيا الوسطى
Chad,Chad,Çad,چاد,Tchad,चाड,چاڈ,تشاد
Chile,Chile,Şili,شیلی,Chili,चिली,چلی,تشيلي
Colombia,Kolọmbịa,Kolombiya,کلمبیا,Colombie,कोलम्बिया,کولمبیا,كوستاريكا
Comoros,Kọmịrọs,Küba,قمر,Comores,कोमोरोस,کموروس,جزر القمر
Costa Rica,Kosta Rịa,Kosta Rika,کاستاریکا,Costa Rica,कोस्टारिका,کوسٹا ریکا,كوستاريكا
Croatia,Ụkotani,Hırvatistan,کرواسی,Croatie,क्रोएशिया,کروشیا,كرواتيا
Cuba,Kuba,Küba,کوبا,Cuba,कुबा,کوبا,كوبا
Cyprus,Ụgbọ mmiri Cyprus,Kıbrıs,قبرس,Chypre,साइप्रस,قبرس,قبرص
Czech Republic,Ǹdị Czech,Çekya,تعیود جمهوری چک,République tchèque,चेक गणतन्त्र,چیک جمہوریہ,جمهورية التشيك
People's Republic of the Congo,Ọgbọ́ Ndị Mmadụ nke Kòngo,Kongo Halk Cumhuriyeti,جمهوری دموکراتیک کنگو,République du Congo,जनतान्त्रिक गणतन्त्र कङगो,کونگو عوامی جمہوریہ,جمهورية الكونغو الديمقراطية
Djibouti,Jibooti,Cibuti,جبوتی,Djibouti,जिबुति,جبوتی,جيبوتي
Dominica,Dominika,Dominika,‌دومینیکا,Dominique,डोमिनिका,ڈومنکا,دومينيكا
Dominican Republic,Ọzọ nke Dominican,Dominik Cumhuriyeti,جمهوری دومنیکن,République dominicaine,डोमिनिकन गणतन्त्र,ہنڈی زبان,جمهورية الدومينيكان
Ecuador,Ecuador,Ekvador,اکوادور,Équateur,इक्वाडोर,ای کاڈور,إكوادور
Egypt,Égypto,Mısır,مصر,Égypte,ईजिप्ट,مصر,مصر
El Salvador,El Salvador,El Salvador,السالوادور,El Salvador,एल साल्भाडर,ہالی سینٹوریو,السلفادور
Equatorial Guinea,Guinea nke Ọtọ,Ekvator Ginesi,غینۀ استوایی,Guinée équatoriale,इक्वेटोरियल गिनी,اقیانوسی گنی,الغينيا الاستوائية
Eritrea,Eritrea,Eritre,ایتالیا,Érythrée,इरिट्रिया,ایتھوپیا,إريتريا
Estonia,Estonia,Estonya,استونی,Estonie,एस्टोनिया,ایسٹونیا,إستونيا
Eswatini,Eswatini,Esvatini,اسواتینی,Eswatini,ऐस्वाटिनी,ایسواٹینی,إسواتيني
Ethiopia,Etiopịa,Etiyopya,اتیوپیا,Éthiopie,इथियोपिया,ایتھوپیا,إثيوبيا
Federated States of Micronesia,Steeti Zepụta nke Micronesia,Mikronezya Federal Devletleri,ایالات فدرال میکرونزی,États fédérés de Micronésie,माइक्रोनेशिया संघीय राज्यहरू,وفادار ریاستیں میکرونیشیا,ولايات ميكرونيزيا الفدرالية
Fiji,Fiji,Fiji,فیجی,Fidji,फिजी,فیجی,فيجي
Finland,Finland,Finlandiya,فنلاند,Finlande,फिनल्यान्ड,فن لینڈ,فنلندا
France,Ụgbọala,Fransa,فرانسه,France,फ्रान्स,فرانس,فرنسا
Gabon,Gabon,Gabon,گابن,Gabon,गबोन,گیبون,الغابون
Georgia,Georgia,Gürcistan,گرجستان,Géorgie,जर्जिया,جورجیا,جورجيا
Germany,Almudịrị,Almanya,آلمان,Allemagne,जर्मनी,جرمنی,ألمانيا
Ghana,Ghana,Gana,غنا,Ghana,घाना,گانا,غانا
Greece,Grísị,Yunanistan,یونان,Grèce,ग्रिस,یونان,اليونان
Grenada,Gịnịrạďà,Grenada,گرنادا,Grenade,ग्रેनेडा,گرانادا,غرناطة
Guatemala,Guatemala,Guatemala,گواتمالا,Guatemala,ग्वाटेमाल,گواتیمالا,غواتيمالا
Guinea,Guinea,Gine,گینه,Guinée,गिनि,گِنی,غينيا
Guinea-Bissau,Gini-Bissu,Gine-Bisbau,گینه بیساو,Guinée-Bissau,गिनी-बिसाउ,گنی بسائو,غينيا بيساو
Guyana,Gyana,Guyana,گویان,Guyana,गाيان,گیانا,غيانا
Haiti,Haiti,Haiti,هائیتی,Haïti,हैटी,ہیتی,هايتي
Honduras,Hondụras,Honduras,هندوراس,Honduras,हन्डुरास,ہونڈوراس,هندوراس
Hungary,Honịrị,Macaristan,مجارستان,Hongrie,हंगेरी,ہنگری,المجر
Iceland,Iceland,İzlanda,ایسلند,Islande,आयसलैंड,آئس لینڈ,آيسلندا
India,India,Hindistan,هند,Inde,भारत,ہندوستان,الهند
Indonesia,Indonesia,Endonezya,اندونزی,Indonésie,इन्डोनेशिया,انڈونیشیا,إندونيسيا
Iran,Ìran,İran,ایران,Iran,ईरान,ایران,إيران
Iraq,إرٚaƙ,Irak,عراق,Irak,इराक,عراق,العراق
Ireland,Ìrịlọndị,İrlanda,ایرلند,Irlande,आयरल्याण्ड,آئر لینڈ,إيرلندا
Israel,Izraal,İsrail,اسرائیل,Israël,इजरायल,اسرائیل,إسرائيل
Italy,Itali,İtalya,ایتالیا,Italie,इटली,اٹلی,إيطاليا
Ivory Coast,Ụsọ Ọgwụgụkwọ,Fildişi Sahili,کوت دی‌آوئر,Côte d’Ivoire,आइवरी कोस्ट,کیاوڈ,ساحل العاج
Jamaica,Jamaica,Yapay,جامائیکا,Jamaïque,जमाइकା,جمائیکا,جامايكا
Japan,Japani,Japonya,ژاپن,Japon,जापान,جاپان,اليابان
Jordan,Jordan,Ürdün,اردن,Jordanie,जॉर्डन,اردن,الأردن
Kazakhstan,Қазахастан,Kazakistan,قزاقستان,Kazakhstan,काजाखस्तान,قازقستان,كازاخستان
Kenya,Kenya,Kenya,کینیا,Kenya,केन्या,کینیا,كينيا
Kingdom of Denmark,Alae nke Denmark,Danimarka Krallığı,پادشاهی دانمارک,Royaume du Danemark,डेनमार्कको राज्यमन्त्रालय,مملکت ڈنمارک,مملكة الدنمارك
Kingdom of the Netherlands,Alae nke Netherlands,Hollanda Krallığı,پادشاهی هلند,Royaume des Pays-Bas,नेदरल्याण्ड्सको साम्राज्य,مملکتِ نیدرلینڈز,مملكة هولندا
Kiribati,Kiribati,Kiribati,کیراباتי,Kiribati,किरिबाती,کِریبیٹی,كوريابة
Kuwait,Kuwaiti,Kuveyt,کویت,Koweït,कुवैत,کویت,الكويت
Kyrgyzstan,Kirigiztan,Kırgızistan,قرقیزستان,Kirghizistan,किर्गिस्तान,قرغیزستان,قيرغيزستان
Laos,Laos,Laos,لودا,Laos,लाओस्,لاؤ,لاوس
Latvia,Latvia,Letonya,لتونی,Lettonie,लाट्भिया,لتھویہ,لاتفيا
Lebanon,Lebanon,Lübnan,لبنان,Liban,लेबनान,لبنان,لبنان
Lesotho,Lesotho,Lesotho,لسوتو,Lesotho,लेसोथो,لیسوتھو,ليسوتو
Liberia,Libéria,Liberya,لیبریا,Liberia,लाइबेरिया,لائبیریا,ليبيريا
Libya,Libia,Libya,لیبی,Libye,लिबिया,لیبیا,ليبيا
Liechtenstein,Lịchịtensteịn,Lihtenştayn,لیختن‌اشتاین,Liechtenstein,लिच्टेन्स्टाइन,لِیکٹین اسٹائن,ليختنشتاين
Lithuania,Litaunia,Litvanya,لیتوانی,Lituanie,लिथुएनिया,لتھوانیا,ليتوانيا
Luxembourg,Luxembourg,Lüksemburg,لوکزامبورگ,Luxembourg,लग्जमबर्ग,لکسمبرگ,لوكسمبورغ
Madagascar,Madagascar,Madagaskar,مداگاسکار,Madagascar,मडागास्कर,مڈغاسکر,مدغشقر
Malawi,Malawi,Malavi,مالاوی,Malawi,मलावी,ملاوی,ملاوي
Malaysia,Malasia,Malezya,مالزی,Malaisie,मलेसिया,ملیشیا,ماليزيا
Maldives,Maldives,Maldivler,مالدیو,Maldives,माल्दिभ्स,مالدیپ,المالديف
Mali,Mali,Mali,مالی,Mali,माली,مالي,مالي
Malta,Malta,Malta,مالت,Malte,माल्टा,مالٹا,مالطا
Marshall Islands,Ụ́lọ́gwụ́ Marshall,Marshall Adaları,جزایر مارشال,Îles Marshall,मार्शल टापु,مارشل آئلز,جزر مارشال
Mauritania,Mɔritaniya,Mauritius,موریتانی,Mauritanie,मौरीतानिया,موریطانیہ,موريتانيا
Mauritius,Mɔritịaụs,Mauritius,موریس,Maurice,मोरिशस,موریس,موريشيوس
Mexico,Méxịkọ,Meksika,مکزیک,Mexique,मेक्सिको,میکسیکو,المكسيك
Moldova,Moldova,Moldova,مولدووا,Moldovie,मोल्दोवा,مالدوָہ,مولدوفا
Monaco,Monako,Monako,موناكو,Monaco,मोनाको,موناكو,موناكو
Mongolia,Mongolia,Moğolistan,مغولستان,Mongolie,मङ्गोलिया,مونیگولیا,منغوليا
Montenegro,Montenegro,Karadağ,مونته‌نگرو,Monténégro,मोन्टेनेग्रो,مونٹی نیگرو,الجبل الأسود
Morocco,Morọkọ,Fas,مراکش,Maroc,मारोक्को,مراکش,المغرب
Mozambique,Mozambik,Mozambik,موزامبیک,Mozambique,मोजाम्बिक,موزمبیق,موزمبيق
Myanmar,Myanmar,Myanmar,میانمار,Myanmar,म्यांमार,میانمار,ميانمار
Namibia,Namibia,Namibya,نامیبیا,Namibie,नामिबिया,نامیبیا,ناميبيا
Nauru,Nauru,Nauru,نورو,Nauru,नाउरु,ناؤری,ناورو
Nepal,Nepál,Nepal,نپال,Népal,नेपाल,نیپال,نيبال
New Zealand,Zịnịndịla ọhụrụ,Yeni Zelanda,نیوزیلند,Nouvelle-Zélande,न्यूजिल्याण्ड,نیوزی لینڈ,نيوزيلندا
Nicaragua,Nicaragua,Nikaragua,نیکاراگوئه,Nicaragua,निकारागुवा,نکاراگوا,نيكاراغوا
Niger,Níjịr,Nijer,نیجر,Niger,नाइजर,نائیجر,نَيْجِر
Nigeria,Naịjiria,Nijerya,نیجریه,Nigéria,नाइजेरिया,نیجیریا,نيجيريا
North Korea,North Korea,Kuzey Kore,کره شمالی,Corée du Nord,उत्तर कोरिया,شمالی کوریا,كوريا الشمالية
North Macedonia,North Macedonia,Kuzey Makedonya,مقدونیه شمالی,Macédoine du Nord,उत्तर म्यासेडोनिया,شمالی مقدونیہ,مقدونيا الشمالية
Norway,Norway,Norveç,نروژ,Norvège,नर्वे,ناروے,النرويج
Oman,Ọman,Umman,عمان,Oman,ओमान,عمان,عُمان
Pakistan,Pakistan,Pakistan,پاکستان,Pakistan,पाकिस्तान,پاکستان,باكستان
Palau,Palau,Palau,پالائو,Palaos,पलाउ,پالاؤ,بالاو
Panama,Panama,Panama,پاناما,Panama,पनामा,پناما,بنما
Papua New Guinea,Papua Ọhụrụ Ndị Gịnị,Yepyua Yeni Gine,پاپوآ گینه نو,Papouasie-Nouvelle-Guinée,पपुवा नयाँ गिनी,پاپوآ نیو گنی,بابوا غينيا الجديدة
Paraguay,Paraguay,Paraguay,پاراکوئه,Paraguay,पाराग्वे,پاراغوا,باراغواي
People's Republic of China,Ọchịchị Ndị Mmadu nke China,Çin Halk Cumhuriyeti,جمهوری خلق چین,République populaire de Chine,जन जनवादी गणराज्य चीन,عوامی جمہوریہ چین,جمهورية الصين الشعبية
Peru,Peru,Peru,پرو,Pérou,पेरु,پیرو,بيرو
Philippines,Philippines,Filipinler,فیلیپین,Philippines,फिलिपिन्स,فلپائن,الفلبين
Poland,Poland,Polonya,لهستان,Pologne,पोल्याण्ड,پولینڈ,بولندا
Portugal,Pọtugal,Portekiz,پرتغال,Portugal,पुर्तगाल,پرتگال,البرتغال
Qatar,Qatar,Katar,قطر,Qatar,कतार,قطر,قطر
Romania,Romanià,Romanya,رومانی,Roumanie,रोमेनिया,رومانیہ,رومانيا
Russia,Ụgbọ̀ Ụkwụ,Rusya,روسیه,Russie,रूस,روس,روسيا
Rwanda,Rwanda,Ruanda,رواندا,Rwanda,रुवाण्डा,روانڈا,رواندا
Saint Kitts and Nevis,Saint Kitts na Nevis,Saint Kitts ve Nevis,سنت کیتس و نویس,Saint-Christophe-et-Niévès,सेंट किट्स र नेभिस,سینٹ کٹس اور نیویس,سانت كيتس ونيفيس
Saint Lucia,Saint Lucia,Saint Lucia,سنت لوسیا,Sainte-Lucie,सेंट लूसिया,سینٹ لوسیا,سانت لوسيا
Saint Vincent and the Grenadines,Saint Vincent na Grenadines,Saint Vincent ve Grenadinler,سنت وینسنت و گرنادین‌ها,Saint-Vincent-et-les-Grenadines,सेन्ट भिन्सेन्ट र ग्रेनाडिन्स,سینٹ ونسنٹ اور گرینیڈائنز,سانت فينسنت والغرينادين
Samoa,Samoa,Samoa,ساموئا,Samoa,सामोआ,سامواآ,ساموا
San Marino,San Marino,San Marino,سان مارینو,Saint-Marin,सान मार्ग,سان مارینو,سان مارينو
Saudi Arabia,Saudi Arabia,Suudi Arabistan,عربستان سعودی,Arabie saoudite,साउदी अरब,سعودی عرب,السعودية
Senegal,Naịjirịa,Senegal,سنگال,Sénégal,सेनेगल,سنِگال,السنغال
Serbia,Serbia,Sırbistan,صربستان,Serbie,सर्बिया,سربیا,صربيا
Seychelles,Seychelles,Seyşeller,سیشل,Seychelles,सेייכेल्स,سیشلز,سيشيل
Sierra Leone,Sierra Leone,Sierra Leone,سیرالئون,Sierra Leone,सिएरा लियोने,سیرا وین,السيراليون
Singapore,Singapụọrụ,Singapur,سنگاپور,Singapour,सिङ्गापुर,سنگاپور,سنغافورة
Slovakia,Slovakia,Slovakya,اسلواکی,Slovaquie,स्लोभाकिया,سلوواکیہ,سلوفاكيا
Slovenia,Slọvẹnia,Slovenya,اسلوونى,Slovénie,स्लोभेनिया,سلوانیہ,سلوفينيا
Solomon Islands,Ụlọ Ọnụ Dịrị Solomon,İsrail Solomon</|diff_marker|>,جزایر سلیمان,Îles Salomon,सोलोमन टापुहरू,سلومن جزائر,جزر سليمان
Somalia,Somalia,Somali,سومالی,Somalie,सोमालिया,صومالیہ,الصومال
South Africa,South Africa,Güney Afrika,آفریقای جنوبی,Afrique du Sud,दक्षिण अफ्रिका,جنوبی افریقہ,جنوب أفريقيا
South Korea,South Korea,Güney Kore,کره جنوبی,Corée du Sud,दक्षिण कोरिया,جنوبی کوریا,كوريا الجنوبية
South Sudan,South Sudan,Güney Sudan,جنوب سودان,Soudan du Sud,दक्षिण सुडान,جنوبی سودان,جنوب السودان
Spain,Spaini,İspanya,اسپانیا,Espagne,स्पेन,اسپین,إسبانيا
Sri Lanka,Sri Lanka,Sri Lanka,سری‌لانکا,Sri Lanka,श्रीलंका,سری لنکا,سريلانكا
State of Palestine,Ọnọdụ Palestina,Filistin Devleti,سرزمین فلسطین,État de Palestine,पैलेस्टाइनको राज्य,فلسطین کی ریاست,دولة فلسطين
Sudan,Ụsọndan,Sudan,سودان,Soudan,सुडान,سودان,السودان
Suriname,Suriname,Surinam,سورینام,Suriname,सुरिनाम,سورینام,سورينام
Sweden,Sụvídenụ,İsveç,سوئد,Suède,स्वीडेन,سویڈن,السويد
Switzerland,Switzerland,İsviçre,سوئیس,Suisse,स्विट्जरल्याण्ड,سوئٹزرلینڈ,سويسرا
Syria,Siriya,Suriye,سوریه,Syrie,सिरिया,شام,سوريا
São Tomé and Príncipe,Santome na Príncipe,São Tomé ve Príncipe,سائوتومه و پرنسیپ,Sao Tomé-et-Principe,साओ टोमि र प्रिंसिपे,ساؤ ٹومے اور پرنسپے,ساو تومي وبرينسيبي
Taiwan,Tayiwān,Tayvan,تایوان,Taïwan,टायवान,تائیوان,تايوان
Tajikistan,Tajikistan,Tacikistan,تاجیکستان,Tadjikistan,ताजिकिस्तान,تاجکستان,طاجيكستان
Tanzania,Tanzania,Tanzanya,تانزانیا,Tanzanie,टांज़ानिया,تنزانیہ,تنزانيا
Thailand,Thailand,Tayland,تایلند,Thaïlande,थाईल्याण्ड,تھائی لینڈ,تايلاند
The Bahamas,Bahamas,Bahamalar,باهاما,Bahamas,बहामास,بیہاما,الباهاما
The Gambia,Gambia,Gambiya,غامبیا,Gambie,गाम्बिया,گامبیا,غامبيا
Togo,Togo,Togo,توگو,Togo,टोGO,ٹوگو,توغو
Tonga,Tonga,Tonga,تونگا,Tonga,टोंगा,تونگا,تونغا
Trinidad and Tobago,Trinidad na Tobago,Trinidad ve Tobago,ترینیداد و توباگو,Trinité-et-Tobago,त्रिनिदाद र टोबागो,ٹرینیڈاد اور ٹیوبیگو,ترينيداد وتوباغو
Tunisia,Tunyisi,Tunus,تونس,Tunisie,ट्युनिस,تونس,تونس
Turkey,Tọki,Türkiye,ترکیه,Turquie,तुर्की,ترکی,تركيا
Turkmenistan,Türkmenistan,Türkmenistan,ترکمنستان,Turkménistan,टुर्कमेनिस्तान,ترکمانستان,تركمانستان
Tuvalu,Tuluva,Tuvalu,توانو,Tuvalu,टुबुलु,تووالو,توفالو
Uganda,Uganda,Uganda,اوگاندا,Ouganda,उगाण्डा,یوگنڈا,أوغندا
Ukraine,Ukrajịnụ,Ukrayna,اوکراین,Ukraine,अधिराज्य,یوکرین,أوكرانيا
United Arab Emirates,United Arab Emirates,Fasıl Birleşik Arap Emirlikleri,امارات متحده عربی,Les Émirats arabes unis,संयुक्त अरब अमिरात,متحدہ عرب امارات,الإمارات العربية المتحدة
United Kingdom,United Kingdom,Birleşik Krallık,بریتانیا,Royaume-Uni,संयुक्त राज्य,برطانیہ,بريطانيا
United States,United States,Birleşik Devletler,امریکہ,États-Unis,संयुक्त राज्य अमेरिका,أمريكا,امریکہ
Uruguay,Urugụwai,Uruguay,اروگوئه,Uruguay,उरुग्वे,اروگوئه,أوروغواي
Uzbekistan,Ọuzbekịstan,Özbekistan,ازبکستان,Ouzbékistan,उज्बेकिस्तान,ازبکستان,أوزبكستان
Vanuatu,Vanuatu,Vanuatu,وانواتو,Vanuatu,भानटु,وانواتو,فانواتو
Vatican City,Vatican City,Vatikan Şehri,مراکش,Cité du Vatican,भाटिकन सिटी,مقدس شہر,مدينة الفاتيكان
Venezuela,Venezuela,Venezuela,ونزوئلا,Venezuela,भेनेजुएला,وینزویلا,فنزويلا
Vietnam,Vietnam,Vietnam,ویتنام,Vietnam,भियतनाम,ویتنام,فيتنام
Yemen,Yamman,Yemen,یمن,Yémen,येमेन,یمن,اليمن
Zambia,Zambia,Zambiya,زامبیا,Zambie,जाम्बिया,زیمبیا,زامبيا
Zimbabwe,Zimbábwe,Zimbabve,زیمبابوه,Zimbabwe,जिम्बाबी,زمبابوے,زيمبابوي
Republic of Congo,Republic of Congo,Kongo Cumhuriyeti,جمهوری کنگو,République du Congo,कंगो गणतन्त्र,جمہوریہ کانگو,جمهورية الكونغو
